States/UTs,Crime Head,Year,Cases pending investigation from previous year,Cases reported Under 156_3 during the year,Cases reported in Police Stations during the year,Cases reported during the year,No of victims in the registered cases,No of cases withdrawn by the Govt during investigation,Cases not investigated Under 157_1_b CRPC,Cases transferred to other Police Station or Magistrate,Cases ended as final report false,Cases ended as mistake of fact or of law,Cases in ended as final report as Non Cognizable Submitted,Cases Chargesheeted Out of Cases During the Year,Cases Chargesheeted Out of Cases from Previous Year,Cases Chargesheeted,Cases Not Chargesheeted but final report Submitted,Total cases Investigated,Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,Cases withdrawn by the Govt,Cases disposed off by Plea Bargaining,Cases for Trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases  convicted Out of Cases During the Year,Cases  convicted Out of Cases from Previous Year,Cases convicted,Cases Acquitted Out of Cases During the Year,Cases Acquitted Out of Cases from Previous Year,Cases Acquitted or Discharged,Cases Pending Trial at the end of the year,Persons in custody during inv stage at beginning of Year_Male,Persons in custody during inv stage at beginning of Year_Female,Persons in custody during inv stage at beginning of Year_Total,Persons on bail during inv stage at beginning of Year_Male,Persons on bail during inv stage at beginning of Year_Female,Persons on bail during inv stage at beginning of Year_Total,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total,Persons released or freed before trial for want of evidence_Male,Persons released or freed before trial for want of evidence_Fem,Persons released or freed before trial for want of evidence_Tot,Persons in custody during inv stage at year end_Male,Persons in custody during inv stage at year end_Female,Persons in custody during inv stage at year end_Total,Persons on Bail during inv stage at year end_Male,Persons on Bail during inv stage at Year end_Female,Persons on Bail during inv stage at year end_Total,Persons charge sheeted_Male,Persons charge sheeted_Female,Persons charge sheeted_Total,Persons in custody during trial stage at begin of year_Male,Persons in custody during trial stage at begin of year_Female,Persons in custody during trial stage at begin of year_Total,Persons on Bail during trial stage at begin of year_Male,Persons on Bail during trial stage at begin of year_Female,Persons on Bail during trial stage at begin of year_Total,Total number of persons under Trial_Male,Total number of persons under Trial_Female,Total number of persons under Trial_Total,Persons against whom cases were compounded by Courts_Male,Persons against whom cases were compounded by Courts_Female,Persons against whom cases were compounded by Courts_Total,Persons against whom cases were withdrawn_Male,Persons against whom cases were withdrawn_Female,Persons against whom cases were withdrawn_Total,Persons in custody during trial stage at Year end_Male,Persons in custody during trial stage at Year end_Female,Persons in custody during trial stage at Year end_Total,Persons on bail during trial stage at Year End_Male,Persons on bail during trial stage at Year End_Female,Persons on bail during trial stage at Year End_Total,Persons whose cases trials were completed during the year_Male,Persons whose cases trials were completed during the year_Female,Persons whose cases trials were completed during the year_Total,Persons convicted_Male,Persons convicted_Female,Persons convicted_Total,Persons acquitted_Male,Persons acquitted_Female,Persons acquitted_Total,Persons Discharged by Court_Male,Persons Discharged by Court_Female,Persons Discharged by Court_Total
Haryana,12 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,"13 - Protection of Women from Domestic Violence Act, 2005",2014,5,1,3,4,8,0,0,0,2,0,0,1,4,5,0,7,2,15,5,0,0,20,0,2,0,0,0,0,2,2,18,2,1,3,4,0,4,3,0,3,0,0,0,0,0,0,2,0,2,7,1,8,0,0,0,29,1,30,36,2,38,0,0,0,0,0,0,0,0,0,33,2,35,3,0,3,0,0,0,3,0,3,0,0,0
Haryana,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,2,0,43,43,67,0,0,0,0,0,0,38,2,40,0,40,5,142,40,0,0,182,0,19,0,5,5,0,14,14,163,1,0,1,0,0,0,108,93,201,0,0,0,6,0,6,12,7,19,91,86,177,136,88,224,260,94,354,487,268,755,0,0,0,0,0,0,39,20,59,390,146,536,58,102,160,19,25,44,39,77,116,0,0,0
Haryana,14.1 - Under ITP Section 5,2014,2,0,17,17,36,0,0,0,0,0,0,15,2,17,0,17,2,53,17,0,0,70,0,10,0,2,2,0,8,8,60,1,0,1,0,0,0,41,30,71,0,0,0,1,0,1,3,2,5,38,28,66,32,3,35,72,40,112,142,71,213,0,0,0,0,0,0,38,6,44,86,55,141,18,10,28,4,2,6,14,8,22,0,0,0
Haryana,14.2 - Under ITP Section 6,2014,0,0,9,9,9,0,0,0,0,0,0,8,0,8,0,8,1,7,8,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,27,33,60,0,0,0,0,0,0,5,1,6,22,32,54,0,0,0,42,20,62,64,52,116,0,0,0,0,0,0,0,14,14,64,38,102,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,14.3 - Under ITP Section 7,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,5,13,0,0,0,0,0,0,0,0,0,8,5,13,0,0,0,1,5,6,9,10,19,0,0,0,0,0,0,0,0,0,9,10,19,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,14.4 - Under ITP Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13,2,11,13,0,0,0,0,0,0,0,0,0,2,11,13,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,14.5 - Other Sections under ITP Act,2014,0,0,16,16,21,0,0,0,0,0,0,14,0,14,0,14,2,80,14,0,0,94,0,9,0,3,3,0,6,6,85,0,0,0,0,0,0,32,25,57,0,0,0,5,0,5,4,4,8,23,21,44,104,85,189,143,18,161,270,124,394,0,0,0,0,0,0,1,0,1,229,32,261,40,92,132,15,23,38,25,69,94,0,0,0
Haryana,15 - Total Crimes against Women,2014,1183,1147,7827,8974,9154,0,0,0,2577,0,13,4944,777,5721,363,8674,1483,13742,5721,0,0,19463,42,5128,104,586,690,599,3839,4438,14293,248,20,268,225,16,241,8738,1112,9850,0,0,0,491,6,497,546,67,613,8174,1075,9249,7874,902,8776,16054,1224,17278,32102,3201,35303,0,0,0,14,0,14,5910,471,6381,17482,2066,19548,8696,664,9360,952,54,1006,7744,610,8354,0,0,0
Himachal Pradesh,1 - Rape (Section 376 IPC),2014,60,4,279,283,284,0,0,1,43,7,0,164,43,207,1,258,84,498,207,0,0,705,1,106,1,35,36,2,68,70,598,36,2,38,9,0,9,317,12,329,9,0,9,73,4,77,23,0,23,257,10,267,293,1,294,487,15,502,1037,26,1063,0,0,0,1,0,1,350,5,355,522,19,541,164,2,166,47,0,47,117,2,119,0,0,0
Himachal Pradesh,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,1.2 - Rape other than Custodial,2014,60,4,279,283,284,0,0,1,43,7,0,164,43,207,1,258,84,498,207,0,0,705,1,106,1,35,36,2,68,70,598,36,2,38,9,0,9,317,12,329,9,0,9,73,4,77,23,0,23,257,10,267,293,1,294,487,15,502,1037,26,1063,0,0,0,1,0,1,350,5,355,522,19,541,164,2,166,47,0,47,117,2,119,0,0,0
Himachal Pradesh,1.2.1 - Rape_Gang Rape,2014,0,0,6,6,6,0,0,0,0,0,0,6,0,6,0,6,0,1,6,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,19,0,19,2,0,2,0,0,0,21,0,21,0,0,0,0,0,0,18,0,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,1.2.2 - Rape_Others,2014,60,4,273,277,278,0,0,1,43,7,0,158,43,201,1,252,84,497,201,0,0,698,1,106,1,35,36,2,68,70,591,36,2,38,9,0,9,298,12,310,9,0,9,73,4,77,23,0,23,238,10,248,291,1,292,487,15,502,1016,26,1042,0,0,0,1,0,1,332,5,337,519,19,538,164,2,166,47,0,47,117,2,119,0,0,0
Himachal Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0,1,4,5,5,0,0,0,0,1,0,3,0,3,0,4,1,5,3,0,0,8,0,1,0,0,0,0,1,1,7,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,5,0,5,8,0,8,0,0,0,0,0,0,0,0,0,7,0,7,1,0,1,0,0,0,1,0,1,0,0,0
Himachal Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,85,4,223,227,242,0,0,1,135,34,0,32,23,55,10,234,77,272,55,0,0,327,1,37,0,3,3,2,32,34,289,26,0,26,14,5,19,91,4,95,7,0,7,27,0,27,15,5,20,82,4,86,114,4,118,326,15,341,522,23,545,0,0,0,2,0,2,120,6,126,331,17,348,69,0,69,5,0,5,63,0,63,1,0,1
Himachal Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,2014,7,0,32,32,32,0,0,0,18,3,0,3,1,4,2,27,12,26,4,0,0,30,0,4,0,1,1,0,3,3,26,2,0,2,0,0,0,12,0,12,0,0,0,4,0,4,3,0,3,7,0,7,0,0,0,43,0,43,50,0,50,0,0,0,0,0,0,5,0,5,39,0,39,6,0,6,1,0,1,4,0,4,1,0,1
Himachal Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,72,3,172,175,179,0,0,1,106,31,0,21,20,41,8,186,60,232,41,0,0,273,1,30,0,2,2,1,27,28,242,18,0,18,14,4,18,63,2,65,6,0,6,21,0,21,12,5,17,56,1,57,112,4,116,272,14,286,440,19,459,0,0,0,0,0,0,104,4,108,277,15,292,59,0,59,4,0,4,55,0,55,0,0,0
Himachal Pradesh,3.5 - Kidnapping & Abduction of Women-Other,2014,6,0,18,18,29,0,0,0,10,0,0,7,2,9,0,19,5,14,9,0,0,23,0,3,0,0,0,1,2,3,20,6,0,6,0,1,1,14,2,16,1,0,1,2,0,2,0,0,0,17,3,20,2,0,2,11,1,12,30,4,34,0,0,0,2,0,2,11,2,13,13,2,15,4,0,4,0,0,0,4,0,4,0,0,0
Himachal Pradesh,4 - Dowry Deaths (Section 304-B IPC),2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,19,1,0,0,20,0,1,0,1,1,0,0,0,19,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,55,12,67,58,14,72,0,0,0,0,0,0,20,0,20,34,14,48,4,0,4,4,0,4,0,0,0,0,0,0
Himachal Pradesh,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,104,15,523,538,538,0,0,0,45,12,0,372,88,460,10,527,115,1932,460,0,0,2392,19,221,0,23,23,0,198,198,2152,1,0,1,77,0,77,646,37,683,2,0,2,26,0,26,79,8,87,617,29,646,80,0,80,2470,45,2515,3167,74,3241,0,0,0,22,0,22,17,0,17,2829,68,2897,299,6,305,46,0,46,253,6,259,0,0,0
Himachal Pradesh,5.1 - Sexual Harassment,2014,26,2,157,159,159,0,0,0,17,2,0,99,27,126,4,149,36,304,126,0,0,430,1,70,0,4,4,0,66,66,359,0,0,0,23,0,23,185,4,189,1,0,1,4,0,4,23,0,23,180,4,184,0,0,0,414,5,419,594,9,603,0,0,0,0,0,0,7,0,7,506,6,512,81,3,84,8,0,8,73,3,76,0,0,0
Himachal Pradesh,5.2 - Assault on women with intent to Disrobe,2014,0,3,15,18,18,0,0,0,2,0,0,12,0,12,0,14,4,0,12,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,26,2,28,0,0,0,0,0,0,3,0,3,23,2,25,0,0,0,0,0,0,23,2,25,0,0,0,0,0,0,0,0,0,23,2,25,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,5.3 - Voyeurism,2014,1,0,3,3,3,0,0,0,1,0,0,2,0,2,0,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,3,0,3,1,0,1,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,5.4 - Stalking,2014,2,0,62,62,62,0,0,0,4,1,0,40,2,42,1,48,16,1,42,0,0,43,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,73,1,74,0,0,0,3,0,3,16,0,16,54,1,55,0,0,0,1,0,1,55,1,56,0,0,0,0,0,0,0,0,0,55,1,56,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,5.5 - Others,2014,75,10,286,296,296,0,0,0,21,9,0,219,59,278,5,313,58,1627,278,0,0,1905,18,151,0,19,19,0,132,132,1736,1,0,1,53,0,53,359,30,389,0,0,0,19,0,19,36,8,44,358,22,380,80,0,80,2055,40,2095,2493,62,2555,0,0,0,22,0,22,10,0,10,2243,59,2302,218,3,221,38,0,38,180,3,183,0,0,0
Himachal Pradesh,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,0,0,60,60,60,0,0,0,0,1,0,47,0,47,7,55,5,62,47,0,0,109,4,6,0,0,0,6,0,6,99,0,0,0,5,0,5,54,5,59,0,0,0,0,0,0,4,1,5,55,4,59,0,0,0,63,4,67,118,8,126,1,0,1,4,0,4,0,0,0,107,8,115,6,0,6,0,0,0,6,0,6,0,0,0
Himachal Pradesh,6.1 - At Office premises,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,6.2 - Other places related to work,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,6.3 - In Public Transport system,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,6.4 - in Other Places,2014,0,0,60,60,60,0,0,0,0,1,0,47,0,47,7,55,5,62,47,0,0,109,4,6,0,0,0,6,0,6,99,0,0,0,5,0,5,54,5,59,0,0,0,0,0,0,4,1,5,55,4,59,0,0,0,63,4,67,118,8,126,1,0,1,4,0,4,0,0,0,107,8,115,6,0,6,0,0,0,6,0,6,0,0,0
Himachal Pradesh,7 - Cruelty by Husband or his Relatives (Section 498A),2014,66,77,248,325,371,0,0,0,30,9,0,230,52,282,1,322,69,1379,282,2,0,1659,46,84,0,6,6,6,72,78,1529,11,2,13,74,17,91,456,223,679,2,2,4,10,1,11,43,33,76,486,206,692,133,35,168,2779,389,3168,3398,630,4028,4,1,5,86,25,111,88,24,112,3003,530,3533,217,50,267,11,2,13,206,48,254,0,0,0
Himachal Pradesh,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,9 - Abetment of Suicides of Women u/s 306 IPC,2014,22,0,66,66,68,0,0,0,4,4,0,42,13,55,3,66,22,194,55,0,0,249,1,22,0,0,0,2,20,22,226,16,0,16,14,1,15,94,20,114,1,0,1,3,1,4,23,3,26,97,17,114,37,9,46,321,54,375,455,80,535,0,0,0,1,0,1,77,16,93,344,59,403,33,5,38,0,0,0,33,5,38,0,0,0
Himachal Pradesh,"10 - Dowry Prohibition Act, 1961",2014,2,0,2,2,2,0,0,0,1,0,0,0,1,1,0,2,2,10,1,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,2,2,4,0,0,0,0,0,0,2,2,4,1,0,1,0,0,0,32,3,35,33,3,36,0,0,0,0,0,0,3,1,4,30,2,32,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,12 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0,5,0,5,5,0,0,0,0,0,0,4,0,4,0,4,1,2,4,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,2,0,2,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,1,0,5,5,5,0,0,0,0,1,0,1,1,2,0,3,3,12,2,0,0,14,0,1,0,0,0,0,1,1,13,0,0,0,2,1,3,13,6,19,0,0,0,0,0,0,9,1,10,6,6,12,0,0,0,47,15,62,53,21,74,0,0,0,0,0,0,0,0,0,50,19,69,3,2,5,0,0,0,3,2,5,0,0,0
Himachal Pradesh,14.1 - Under ITP Section 5,2014,0,0,3,3,3,0,0,0,0,1,0,0,0,0,0,1,2,7,0,0,0,7,0,1,0,0,0,0,1,1,6,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,20,4,24,20,4,24,0,0,0,0,0,0,0,0,0,17,2,19,3,2,5,0,0,0,3,2,5,0,0,0
Himachal Pradesh,14.2 - Under ITP Section 6,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.3 - Under ITP Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.4 - Under ITP Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,14.5 - Other Sections under ITP Act,2014,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,5,1,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,2,1,3,6,0,6,0,0,0,0,0,0,6,0,6,2,1,3,0,0,0,27,11,38,29,12,41,0,0,0,0,0,0,0,0,0,29,12,41,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,15 - Total Crimes against Women,2014,340,106,1411,1517,1581,0,0,2,258,69,0,896,221,1117,32,1476,379,4385,1117,2,0,5500,72,479,1,68,69,18,392,410,4949,90,4,94,196,24,220,1685,311,1996,21,2,23,140,6,146,199,53,252,1611,278,1889,657,49,706,6587,552,7139,8855,879,9734,5,1,6,116,25,141,675,52,727,7263,736,7999,796,65,861,113,2,115,682,63,745,1,0,1
Jammu & Kashmir,1 - Rape (Section 376 IPC),2014,109,49,282,331,332,0,0,0,79,0,0,183,42,225,2,306,134,893,225,0,0,1118,2,272,3,15,18,38,216,254,844,18,0,18,0,0,0,339,7,346,1,0,1,7,0,7,17,0,17,332,7,339,139,5,144,1178,31,1209,1649,43,1692,5,0,5,0,0,0,192,0,192,1050,39,1089,402,4,406,19,0,19,381,4,385,2,0,2
Jammu & Kashmir,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,1.2 - Rape other than Custodial,2014,109,49,282,331,332,0,0,0,79,0,0,183,42,225,2,306,134,893,225,0,0,1118,2,272,3,15,18,38,216,254,844,18,0,18,0,0,0,339,7,346,1,0,1,7,0,7,17,0,17,332,7,339,139,5,144,1178,31,1209,1649,43,1692,5,0,5,0,0,0,192,0,192,1050,39,1089,402,4,406,19,0,19,381,4,385,2,0,2
Jammu & Kashmir,1.2.1 - Rape_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,1.2.2 - Rape_Others,2014,109,49,282,331,332,0,0,0,79,0,0,183,42,225,2,306,134,892,225,0,0,1117,2,272,3,15,18,38,216,254,843,18,0,18,0,0,0,339,7,346,1,0,1,7,0,7,17,0,17,332,7,339,139,5,144,1174,31,1205,1645,43,1688,5,0,5,0,0,0,192,0,192,1046,39,1085,402,4,406,19,0,19,381,4,385,2,0,2
Jammu & Kashmir,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0,3,17,20,20,0,0,0,2,0,0,13,0,13,0,15,5,16,13,0,0,29,1,1,0,0,0,0,1,1,27,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,17,0,17,34,0,34,0,0,0,0,0,0,4,0,4,29,0,29,1,0,1,0,0,0,1,0,1,0,0,0
Jammu & Kashmir,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,382,64,749,813,816,0,0,0,381,0,0,252,69,321,18,720,475,3321,321,0,0,3642,9,383,3,2,5,15,363,378,3250,0,0,0,0,0,0,698,9,707,0,0,0,21,0,21,80,0,80,597,9,606,95,4,99,5963,27,5990,6655,40,6695,27,0,27,0,0,0,226,0,226,5808,36,5844,594,4,598,6,0,6,586,4,590,2,0,2
Jammu & Kashmir,3.1 - Kidnaping & Abduction Section 363 IPC,2014,142,11,274,285,288,0,0,0,127,0,0,96,18,114,8,249,178,980,114,0,0,1094,5,122,3,0,3,9,110,119,967,0,0,0,0,0,0,217,7,224,0,0,0,2,0,2,52,0,52,163,7,170,57,0,57,1761,14,1775,1981,21,2002,18,0,18,0,0,0,147,0,147,1613,19,1632,203,2,205,3,0,3,200,2,202,0,0,0
Jammu & Kashmir,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,2,1,13,0,0,0,13,0,1,0,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,0,16,0,0,0,0,0,0,0,0,0,14,0,14,2,0,2,0,0,0,2,0,2,0,0,0
Jammu & Kashmir,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
